distrito,município,email,url
AVEIRO,ESTARREJA,geral@cm-estarreja.pt,www.cm-estarreja.pt 
ÉVORA,ESTREMOZ,geral@cm-estremoz.pt,www.cm-estremoz.pt 
ÉVORA,EVORA,cmevora@cm-evora.pt,www.cm-evora.pt 
BRAGA,FAFE,geral@cm-fafe.pt,www.cm-fafe.pt 
FARO,FARO,geral@cm-faro.pt,www.cm-faro.pt 
PORTO,FELGUEIRAS,geral@cm-felgueiras.pt,www.cm-felgueiras.pt 
BEJA,FERREIRA DO ALENTEJO,geral@cm-ferreira-alentejo.pt,www.ferreiradoalentejo.pt 
SANTARÉM,FERREIRA DO ZÊZERE,geral@cm-ferreiradozezere.pt,www.cm-ferreiradozezere.pt 
COIMBRA,FIGUEIRA DA FOZ,municipe@cm-figfoz.pt,www.cm-figfoz.pt 
GUARDA,FIGUEIRA DE CASTELO RODRIGO,cm-fcr@cm-fcr.pt,www.cm-fcr.pt 
LEIRIA,FIGUEIRÓ DOS VINHOS,secretaria@cm-figueirodosvinhos.pt,www.cm-figueirodosvinhos.pt 
GUARDA,FORNOS DE ALGODRES,geral@cm-fornosdealgodres.pt,www.cm-fornosdealgodres.pt 
BRAGANÇA,FREIXO DE ESPADA À CINTA,geral@cm-fec.pt,www.cm-freixoespadacinta.pt 
PORTALEGRE,FRONTEIRA,municipio@cm-fronteira.pt,www.cm-fronteira.pt 
MADEIRA,FUNCHAL,cmf@cm-funchal.pt,www.cm-funchal.pt 
CASTELO BRANCO,FUNDÃO,geral@cm-fundao.pt,www.cm-fundao.pt 
PORTALEGRE,GAVIÃO,geral@cm-gaviao.pt,www.cm-gaviao.pt 
COIMBRA,GÓIS,correio@cm-gois.pt,www.cm-gois.pt 
SANTARÉM,GOLEGÃ,geral@cm-golega.pt,www.cm-golega.pt 
PORTO,GONDOMAR,geral@cm-gondomar.pt,www.cm-gondomar.pt 
GUARDA,GOUVEIA,geral@cm-gouveia.pt,www.cm-gouveia.pt 
SETÚBAL,GRÂNDOLA,geral@cm-grandola.pt,www.cm-grandola.pt 
GUARDA,GUARDA,geral@mun-guarda.pt,www.mun-guarda.pt 
BRAGA,GUIMARÃES,geral@cm-guimaraes.pt,www.cm-guimaraes.pt 
AÇORES,HORTA,geral@cmhorta.pt,www.cmhorta.pt 
CASTELO BRANCO,IDANHA-A-NOVA,geral@cm-idanhanova.pt,www.cm-idanhanova.pt 
AVEIRO,ÍLHAVO,geralcmi@cm-ilhavo.pt,www.cm-ilhavo.pt 
FARO,LAGOA,expediente@cm-lagoa.pt,www.cm-lagoa.pt 
AÇORES,LAGOA (AÇORES),geral@lagoa-acores.pt,www.lagoa-acores.pt 
FARO,LAGOS,expediente.geral@cm-lagos.pt,www.cm-lagos.pt 
AÇORES,LAJES DAS FLORES,geral@cmlajesdasflores.pt,www.cmlajesdasflores.pt 
AÇORES,LAJES DO PICO,cmlajespico@gmail.com,www.cm-lajesdopico.pt 
VISEU,LAMEGO,geral@cm-lamego.pt,www.cm-lamego.pt 
LEIRIA,LEIRIA,cmleiria@cm-leiria.pt,www.cm-leiria.pt 
LISBOA,LISBOA,geral@cm-lisboa.pt,www.cm-lisboa.pt 
FARO,LOULÉ,cmloule@cm-loule.pt,www.cm-loule.pt 
LISBOA,LOURES,geral@cm-loures.pt,www.cm-loures.pt 
LISBOA,LOURINHÃ,geral@cm-lourinha.pt,www.cm-lourinha.pt 
COIMBRA,LOUSÃ,geral@cm-lousa.pt,www.cm-lousa.pt 
PORTO,LOUSADA,cm-lousada@cm-lousada.pt,www.cm-lousada.pt 
SANTARÉM,MAÇÃO,geral@cm-macao.pt,www.cm-macao.pt 
BRAGANÇA,MACEDO DE CAVALEIROS,geral@cm-macedodecavaleiros.pt,www.cm-macedodecavaleiros.pt 
MADEIRA,MACHICO,gabinete.apoio@cm-machico.pt,www.cm-machico.pt 
AÇORES,MADALENA DO PICO,geral@cm-madalena.pt,www.cm-madalena.pt 
LISBOA,MAFRA,geral@cm-mafra.pt,www.cm-mafra.pt 
PORTO,MAIA,geral@cm-maia.pt,www.cm-maia.pt 
VISEU,MANGUALDE,geral@cmmangualde.pt,www.cmmangualde.pt 
GUARDA,MANTEIGAS,geral@cm-manteigas.pt,www.cm-manteigas.pt 
PORTO,MARCO DE CANAVESES,info@cm-marco-canaveses.pt,www.cm-marco-canaveses.pt 
LEIRIA,MARINHA GRANDE,geral@cm-mgrande.pt,www.cm-mgrande.pt 
PORTALEGRE,MARVÃO,geral@cm-marvao.pt,www.cm-marvao.pt 
PORTO,MATOSINHOS,mail@cm-matosinhos.pt,www.cm-matosinhos.pt 
AVEIRO,MEALHADA,gabpresidencia@cm-mealhada.pt,www.cm-mealhada.pt 
GUARDA,MÊDA,cmeda@cm-meda.pt,www.cm-meda.pt
VIANA DO CASTELO,MELGAÇO,geral@cm-melgaco.pt,www.cm-melgaco.pt 
BEJA,MÉRTOLA,geral@cm-mertola.pt,www.cm-mertola.pt 
VILA REAL,MESÃO FRIO,geral@cm-mesaofrio.pt,www.cm-mesaofrio.pt 
COIMBRA,MIRA,geral@cm-mira.pt,www.cm-mira.pt 
COIMBRA,MIRANDA DO CORVO,camara@cm-mirandadocorvo.pt,www.cm-mirandadocorvo.pt 
BRAGANÇA,MIRANDA DO DOURO,geral@cm-mdouro.pt,www.cm-mdouro.pt 
BRAGANÇA,MIRANDELA,geral@cm-mirandela.pt,www.cm-mirandela.pt 
BRAGANÇA,MOGADOURO,geral@mogadouro.pt,www.mogadouro.pt  
VISEU,MOIMENTA DA BEIRA,geral@cm-moimenta.pt,www.cm-moimenta.pt 
SETÚBAL,MOITA,cmmoita@mail.cm-moita.pt,www.cm-moita.pt 
VIANA DO CASTELO,MONÇÃO,gap@cm-moncao.pt,www.cm-moncao.pt 
FARO,MONCHIQUE,geral@cm-monchique.pt,www.cm-monchique.pt 
VILA REAL,MONDIM DE BASTO,geral@cm-mondimdebasto.pt,municipio.mondimdebasto.pt 
PORTALEGRE,MONFORTE,cmmonforte@mail.telepac.pt,www.cm-monforte.pt 
VILA REAL,MONTALEGRE,municipio@cm-montalegre.pt,www.cm-montalegre.pt 
ÉVORA,MONTEMOR-O-NOVO,cmmontemor@cm-montemornovo.pt,www.cm-montemornovo.pt 
COIMBRA,MONTEMOR-O-VELHO,geral@cm-montemorvelho.pt,www.cm-montemorvelho.pt 
SETÚBAL,MONTIJO,geral@mun-montijo.pt,www.mun-montijo.pt 
ÉVORA,MORA,geral@cm-mora.pt,www.cm-mora.pt 
VISEU,MORTÁGUA,mortagua@cm-mortagua.pt,www.cm-mortagua.pt 
BEJA,MOURA,cmmoura@cm-moura.pt,www.cm-moura.pt 
ÉVORA,MOURÃO,gap@cm-mourao.pt,www.cm-mourao.pt 
VILA REAL,MURÇA,geral@cm-murca.pt,www.cm-murca.pt 
AVEIRO,MURTOSA,geral@cm-murtosa.pt,www.cm-murtosa.pt 
LEIRIA,NAZARÉ,geral@cm-nazare.pt,www.cm-nazare.pt 
VISEU,NELAS,geral@cm-nelas.pt,www.cm-nelas.pt 
PORTALEGRE,NISA,geral@cm-nisa.pt,www.cm-nisa.pt 
AÇORES,NORDESTE  (S. Miguel Açores),geral@cmnordeste.pt,www.cmnordeste.pt 
LEIRIA,ÓBIDOS,geral@cm-obidos.pt,www.cm-obidos.pt 
BEJA,ODEMIRA,geral@cm-odemira.pt,www.cm-odemira.pt 
LISBOA,ODIVELAS,geral@cm-odivelas.pt,www.cm-odivelas.pt 
LISBOA,OEIRAS,geral@cm-oeiras.pt,www.cm-oeiras.pt 
CASTELO BRANCO,OLEIROS,geral@cm-oleiros.pt,www.cm-oleiros.pt 
FARO,OLHÃO,geral@cm-olhao.pt,www.cm-olhao.pt 
AVEIRO,OLIVEIRA DE AZEMÉIS,geral@cm-oaz.pt,www.cm-oaz.pt 
VISEU,OLIVEIRA DE FRADES,geral@cm-ofrades.pt,www.cm-ofrades.com 
AVEIRO,OLIVEIRA DO BAIRRO,cmolb@cm-olb.pt,www.cm-olb.pt 
COIMBRA,OLIVEIRA DO HOSPITAL,geral@cm-oliveiradohospital.pt,www.cm-oliveiradohospital.pt 
SANTARÉM,OURÉM,geral@mail.cm-ourem.pt,www.cm-ourem.pt 
BEJA,OURIQUE,geral@cmourique.pt,www.cm-ourique.pt 
AVEIRO,OVAR,gapresidencia@cm-ovar.pt,www.cm-ovar.pt 
PORTO,PAÇOS DE FERREIRA,geral@cm-pacosdeferreira.pt,www.cm-pacosdeferreira.pt 
SETÚBAL,PALMELA,geral@cm-palmela.pt,www.cm-palmela.pt 
COIMBRA,PAMPILHOSA DA SERRA,municipio@cm-pampilhosadaserra.pt,www.cm-pampilhosadaserra.pt 
PORTO,PAREDES,cmparedes@cm-paredes.pt,www.cm-paredes.pt 
VIANA DO CASTELO,PAREDES DE COURA,geral@paredesdecoura.pt,www.paredesdecoura.pt 
LEIRIA,PEDRÓGÃO GRANDE,geral@cm-pedrogaogrande.pt,www.cm-pedrogaogrande.pt 
COIMBRA,PENACOVA,geral@cm-penacova.pt,www.cm-penacova.pt 
PORTO,PENAFIEL,penafiel@cm-penafiel.pt,www.cm-penafiel.pt 
VISEU,PENALVA DO CASTELO,geral@cm-penalvadocastelo.pt,www.cm-penalvadocastelo.pt 
CASTELO BRANCO,PENAMACOR,secretaria.gap@cm-penamacor.pt,www.cm-penamacor.pt 
VISEU,PENEDONO,geral@cm-penedono.pt,www.cm-penedono.pt 
COIMBRA,PENELA,cmpenela@cm-penela.pt,www.cm-penela.pt 
LEIRIA,PENICHE,cmpeniche@cm-peniche.pt,www.cm-peniche.pt 
VILA REAL,PESO DA RÉGUA,cmregua@cmpr.pt,www.cm-pesoregua.pt 
GUARDA,PINHEL,cm-pinhel@cm-pinhel.pt,www.cm-pinhel.pt 
LEIRIA,POMBAL,geral@cm-pombal.pt,www.cm-pombal.pt
AÇORES,PONTA DELGADA,geral@mpdelgada.pt,www.cm-pontadelgada.pt 
MADEIRA,PONTA DO SOL,presidencia@cm-pontadosol.pt,www.cm-pontadosol.pt 
VIANA DO CASTELO,PONTE DA BARCA,geral@cmpb.pt,www.cmpb.pt 
VIANA DO CASTELO,PONTE DE LIMA,geral@cm-pontedelima.pt,www.cm-pontedelima.pt 
PORTALEGRE,PONTE DE SOR,geral@cm-pontedesor.pt,www.cm-pontedesor.pt 
PORTALEGRE,PORTALEGRE,municipio@cm-portalegre.pt,www.cm-portalegre.pt 
ÉVORA,PORTEL,geral@mail.cm-portel.pt,www.cm-portel.pt 
FARO,PORTIMÃO,geral@cm-portimao.pt,www.cm-portimao.pt 
PORTO,PORTO,geral@cm-porto.pt,www.cm-porto.pt 
LEIRIA,PORTO DE MÓS,geral@municipio-portodemos.pt,www.municipio-portodemos.pt 
MADEIRA,PORTO MONIZ,geral@portomoniz.pt,www.portomoniz.pt 
MADEIRA,PORTO SANTO,geral@cm-portosanto.pt,www.cm-portosanto.pt 
BRAGA,PÓVOA DE LANHOSO,geral@mun-planhoso.pt,www.mun-planhoso.pt 
PORTO,PÓVOA DE VARZIM,geral@cm-pvarzim.pt,www.cm-pvarzim.pt 
AÇORES,POVOAÇÃO (S. Miguel Açores),geral@cm-povoacao.pt,www.cm-povoacao.pt
CASTELO BRANCO,PROENÇA-A-NOVA,geral@cm-proencanova.pt,www.cm-proencanova.pt 
ÉVORA,REDONDO,geral@cm-redondo.pt,www.cm-redondo.pt 
ÉVORA,REGUENGOS DE MONSARAZ,geral@cm-reguengos-monsaraz.pt,www.cm-reguengos-monsaraz.pt 
VISEU,RESENDE,geral@cm-resende.pt,www.cm-resende.pt 
MADEIRA,RIBEIRA BRAVA (Madeira),geral@cm-ribeirabrava.pt,www.cm-ribeirabrava.pt 
VILA REAL,RIBEIRA DE PENA,geral@cm-rpena.pt,www.cm-rpena.pt 
AÇORES,RIBEIRA GRANDE,geralcmrg@cm-ribeiragrande.pt,www.cm-ribeiragrande.pt 
SANTARÉM,RIO MAIOR,geral@cm-riomaior.pt,www.cm-riomaior.pt 
VISEU,S. JOÃO DA PESQUEIRA,cmsjp@sjpesqueira.pt,www.sjpesqueira.pt
VILA REAL,SABROSA,geral@cm-sabrosa.pt,www.sabrosa.pt 
GUARDA,SABUGAL,geral@cm-sabugal.pt,www.cm-sabugal.pt 
SANTARÉM,SALVATERRA DE MAGOS,geral@cm-salvaterrademagos.pt,www.cm-salvaterrademagos.pt 
VISEU,SANTA COMBA DÃO,geral@cm-santacombadao.pt,www.cm-santacombadao.pt 
MADEIRA,SANTA CRUZ,geral@cm-santacruz.pt,www.cm-santacruz.pt 
AÇORES,SANTA CRUZ DA GRACIOSA,geral@cm-graciosa.pt,www.cm-graciosa.pt 
AÇORES,SANTA CRUZ DAS FLORES,geral@cmscflores.pt,www.cmscflores.pt 
AVEIRO,SANTA MARIA DA FEIRA,santamariadafeira@cm-feira.pt,www.cm-feira.pt 
VILA REAL,SANTA MARTA DE PENAGUIÃO,geral@cm-smpenaguiao.pt,www.cm-smpenaguiao.pt 
MADEIRA,SANTANA,gap@cm-santana.com,www.cm-santana.com 
SANTARÉM,SANTARÉM,geral@cm-santarem.pt,www.cm-santarem.pt 
SETÚBAL,SANTIAGO DO CACÉM,geral@cm-santiagocacem.pt,www.cm-santiagocacem.pt 
PORTO,SANTO TIRSO,gap@cm-stirso.pt,www.cm-stirso.pt 
FARO,SÃO BRÁS DE ALPORTEL,camara@cm-sbras.pt,www.cm-sbras.pt 
AVEIRO,SÃO JOÃO DA MADEIRA,geral@cm-sjm.pt,www.cm-sjm.pt 
VISEU,SÃO PEDRO DO SUL,geral@cm-spsul.pt,www.cm-spsul.pt 
AÇORES,SÃO ROQUE DO PICO,geral@cm-saoroquedopico.pt,www.cm-saoroquedopico.pt
MADEIRA,SÃO VICENTE,geral@cm-saovicente.pt,www.cm-saovicente.pt 
SANTARÉM,SARDOAL,geral@cm-sardoal.pt,www.cm-sardoal.pt 
VISEU,SÁTÃO,geral@cm-satao.pt,www.cm-satao.pt 
GUARDA,SEIA,cm-seia@cm-seia.pt,www.cm-seia.pt 
SETÚBAL,SEIXAL,camara.geral@cm-seixal.pt,www.cm-seixal.pt 
VISEU,SERNANCELHE,geral@cm-sernancelhe.pt,www.cm-sernancelhe.pt 
BEJA,SERPA,geral@cm-serpa.pt,www.cm-serpa.pt 
CASTELO BRANCO,SERTÃ,geral@cm-serta.pt,www.cm-serta.pt 
SETÚBAL,SESIMBRA,geral@cm-sesimbra.pt;informação@cm-sesimbra.pt;,www.cm-sesimbra.pt 
SETÚBAL,SETÚBAL,gap@mun-setubal.pt,www.mun-setubal.pt 
AVEIRO,SEVER DO VOUGA,cm.sever@cm-sever.pt,www.cm-sever.pt 
FARO,SILVES,expediente@cm-silves.pt,www.cm-silves.pt 
SETÚBAL,SINES,geral@mun-sines.pt,www.cm-sines.pt 
LISBOA,SINTRA,geral@cm-sintra.pt;municipe@cm-sintra.pt,www.cm-sintra.pt 
LISBOA,SOBRAL DE MONTE AGRAÇO,geral@cm-sobral.pt,www.cm-sobral.pt  
COIMBRA,SOURE,geral@cm-soure.pt,www.cm-soure.pt 
PORTALEGRE,SOUSEL,geral@cm-sousel.pt,www.cm-sousel.pt 
COIMBRA,TÁBUA,geral@cm-tabua.pt,www.cm-tabua.pt 
VISEU,TABUAÇO,cm-tabuaco@cm-tabuaco.pt,www.cm-tabuaco.pt 
VISEU,TAROUCA,camara@cm-tarouca.pt,www.cm-tarouca.pt 
FARO,TAVIRA,camara@cm-tavira.pt,www.cm-tavira.pt 
BRAGA,TERRAS DE BOURO,geral@cm-terrasdebouro.pt,www.cm-terrasdebouro.pt 
SANTARÉM,TOMAR,presidencia@cm-tomar.pt,www.cm-tomar.pt 
VISEU,TONDELA,geral@cm-tondela.pt,www.cm-tondela.pt 
BRAGANÇA,TORRE DE MONCORVO,geral@torredemoncorvo.pt,www.torredemoncorvo.pt
SANTARÉM,TORRES NOVAS,geral@cm-torresnovas.pt,www.cm-torresnovas.pt 
LISBOA,TORRES VEDRAS,geral@cm-tvedras.pt,www.cm-tvedras.pt 
GUARDA,TRANCOSO,geral@cm-trancoso.pt,www.cm-trancoso.pt 
PORTO,TROFA,geral@mun-trofa.pt,www.mun-trofa.pt 
AVEIRO,VAGOS,geral@cm-vagos.pt,www.cm-vagos.pt 
AVEIRO,VALE DE CAMBRA,geral@cm-valedecambra.pt,www.cm-valedecambra.pt 
VIANA DO CASTELO,VALENÇA,geral@cm-valenca.pt,www.cm-valenca.pt 
PORTO,VALONGO,gabmunicipe@cm-valongo.pt,www.cm-valongo.pt 
VILA REAL,VALPAÇOS,municipio@valpacos.pt,www.valpacos.pt
AÇORES,"VELAS, São Jorge, AÇORES",geral@cmvelas.pt,www.cmvelas.pt 
ÉVORA,VENDAS NOVAS,geral@cm-vendasnovas.pt,www.cm-vendasnovas.pt 
ÉVORA,VIANA DO ALENTEJO,atendimento@cm-vianadoalentejo.pt,www.cm-vianadoalentejo.pt 
VIANA DO CASTELO,VIANA DO CASTELO,cmviana@cm-viana-castelo.pt,www.cm-viana-castelo.pt 
BEJA,VIDIGUEIRA,geral@cm-vidigueira.pt,www.cm-vidigueira.pt 
BRAGA,VIEIRA DO MINHO,geral@cm-vminho.pt,www.cm-vminho.pt 
CASTELO BRANCO,VILA DE REI,geral@cm-viladerei.pt,www.cm-viladerei.pt 
FARO,VILA DO BISPO,geral@cm-viladobispo.pt,www.cm-viladobispo.pt 
PORTO,VILA DO CONDE,geral@cm-viladoconde.pt,www.cm-viladoconde.pt 
AÇORES,VILA DO PORTO,geral@cm-viladoporto.pt,www.cm-viladoporto.pt 
BRAGANÇA,VILA FLOR,geral@cm-vilaflor.pt,www.cm-vilaflor.pt 
LISBOA,VILA FRANCA DE XIRA,geral@cm-vfxira.pt,www.cm-vfxira.pt 
AÇORES,VILA FRANCA DO CAMPO,geral@cmvfc.pt,www.cmvfc.pt 
SANTARÉM,VILA NOVA DA BARQUINHA,geral@cm-vnbarquinha.pt,www.cm-vnbarquinha.pt 
VIANA DO CASTELO,VILA NOVA DE CERVEIRA,geral@cm-vncerveira.pt,www.cm-vncerveira.pt 
BRAGA,VILA NOVA DE FAMALICÃO,camaramunicipal@vilanovadefamalicao.org,www.vilanovadefamalicao.org 
GUARDA,VILA NOVA DE FOZ CÔA,correio@cm-fozcoa.pt,www.cm-fozcoa.pt 
PORTO,VILA NOVA DE GAIA,geral@cm-gaia.pt,www.cm-gaia.pt 
VISEU,VILA NOVA DE PAIVA,geral@cm-vnpaiva.pt,www.cm-vnpaiva.pt 
COIMBRA,VILA NOVA DE POIARES,geral@cm-vilanovadepoiares.pt,www.cm-vilanovadepoiares.pt 
VILA REAL,VILA POUCA DE AGUIAR,geral@cm-vpaguiar.pt,www.cm-vpaguiar.pt 
AÇORES,VILA PRAIA DA VITÓRIA,geral@cmpv.pt,www.cmpv.pt 
VILA REAL,VILA REAL,geral@cm-vilareal.pt,www.cm-vilareal.pt 
FARO,VILA REAL DE SANTO ANTÓNIO,geral@cm-vrsa.pt,www.cm-vrsa.pt 
CASTELO BRANCO,VILA VELHA DE RÓDÃO,geral@cm-vvrodao.pt,www.cm-vvrodao.pt 
BRAGA,VILA VERDE,geral@cm-vilaverde.pt,www.cm-vilaverde.pt 
ÉVORA,VILA VIÇOSA,geral@cm-vilavicosa.pt,www.cm-vilavicosa.pt 
BRAGANÇA,VIMIOSO,gi.cmv@cm-vimioso.pt,www.cm-vimioso.pt 
BRAGANÇA,VINHAIS,geral@cm-vinhais.pt,www.cm-vinhais.pt 
VISEU,VISEU,geral@cmviseu.pt,www.cm-viseu.pt
BRAGA,VIZELA,geral@cm-vizela.pt,www.cm-vizela.pt 
VISEU,VOUZELA,geral@cm-vouzela.pt,www.cm-vouzela.pt 
